AGT_CHANNEL,AGT_STATUS,AGT_CD
AGENCY,INFORCE,1
AGENCY,INFORCE,2
AGENCY,INFORCE,3
AGENCY,INFORCE,4
AGENCY,INFORCE,5
AGENCY,INFORCE,6
AGENCY,INFORCE,7
AGENCY,INFORCE,8
AGENCY,INFORCE,9
AGENCY,INFORCE,10
AGENCY,TERMINATED,11
AGENCY,INFORCE,12
AGENCY,INFORCE,13
AGENCY,INFORCE,14
AGENCY,INFORCE,15
AGENCY,INFORCE,16
AGENCY,INFORCE,17
AGENCY,INFORCE,18
AGENCY,INFORCE,19
AGENCY,INFORCE,20
AGENCY,INFORCE,21
BANCA,INFORCE,22
AGENCY,INFORCE,23
AGENCY,INFORCE,24
AGENCY,INFORCE,25
AGENCY,TERMINATED,26
BANCA,INFORCE,27
AGENCY,INFORCE,28
BANCA,INFORCE,29
AGENCY,INFORCE,30
AGENCY,INFORCE,31
AGENCY,TERMINATED,32
AGENCY,TERMINATED,33
AGENCY,INFORCE,34
AGENCY,INFORCE,35
AGENCY,INFORCE,36
AGENCY,INFORCE,37
AGENCY,INFORCE,38
AGENCY,TERMINATED,39
AGENCY,INFORCE,40
AGENCY,INFORCE,41
AGENCY,INFORCE,42
AGENCY,INFORCE,43
AGENCY,INFORCE,44
BANCA,INFORCE,45
AGENCY,INFORCE,46
AGENCY,INFORCE,47
AGENCY,INFORCE,48
AGENCY,INFORCE,49
AGENCY,INFORCE,50
BANCA,INFORCE,51
AGENCY,INFORCE,52
AGENCY,INFORCE,53
BANCA,INFORCE,54
AGENCY,TERMINATED,55
AGENCY,INFORCE,56
AGENCY,TERMINATED,57
AGENCY,TERMINATED,58
AGENCY,INFORCE,59
AGENCY,TERMINATED,60
BANCA,INFORCE,61
AGENCY,INFORCE,62
AGENCY,TERMINATED,63
AGENCY,TERMINATED,64
AGENCY,TERMINATED,65
AGENCY,INFORCE,66
AGENCY,TERMINATED,67
AGENCY,TERMINATED,68
AGENCY,INFORCE,69
IFA,INFORCE,70
AGENCY,INFORCE,71
BANCA,INFORCE,72
AGENCY,INFORCE,73
AGENCY,INFORCE,74
AGENCY,INFORCE,75
AGENCY,TERMINATED,76
AGENCY,TERMINATED,77
AGENCY,INFORCE,78
AGENCY,INFORCE,79
AGENCY,INFORCE,80
AGENCY,INFORCE,81
AGENCY,INFORCE,82
AGENCY,INFORCE,83
AGENCY,INFORCE,84
AGENCY,INFORCE,85
AGENCY,TERMINATED,86
AGENCY,INFORCE,87
AGENCY,TERMINATED,88
AGENCY,INFORCE,89
AGENCY,INFORCE,90
AGENCY,INFORCE,91
BANCA,INFORCE,92
BANCA,INFORCE,93
AGENCY,INFORCE,94
AGENCY,INFORCE,95
AGENCY,INFORCE,96
AGENCY,INFORCE,97
AGENCY,INFORCE,98
AGENCY,INFORCE,99
BANCA,INFORCE,100
AGENCY,INFORCE,101
AGENCY,INFORCE,102
AGENCY,INFORCE,103
AGENCY,INFORCE,104
AGENCY,INFORCE,105
AGENCY,INFORCE,106
