PURPOSE_CODE,CHAR_VALUE,CHAR_VALUE2
STU1,Savers,LA TAKAFUL
AD11,Savers,LA TAKAFUL
AL70,Life,LA TAKAFUL
ACE1,Payor/Waiver,LA TAKAFUL
AT63,Savers,LA
PS06,Life,LA
AT41,Savers,LA
AT43,Savers,LA
BPTU,Savers,LA
EE10,Payor/Waiver,LA
MRB5,Medical,LA
REN4,Medical,LA
MRBC,Medical,LA TAKAFUL
OPPB,Medical,LA TAKAFUL
PMC2,Medical,LA TAKAFUL
RNBB,Medical,LA TAKAFUL
WMC1,Life,LA TAKAFUL
208C,Life,LA
5Y1C,Life,LA
ACL5,Critical Illness,LA
APAC,Critical Illness,LA
L80C,Life,LA
ELL1,Life,LA
ACC5,Critical Illness,LA TAKAFUL
DUMC,Payor/Waiver,LA
PES5,Life,LA
PES6,Life,LA
PEW2,Payor/Waiver,LA
65SW,Payor/Waiver,LA
67PW,Payor/Waiver,LA
75SW,Payor/Waiver,LA
76CR,Critical Illness,LA
APAT,Savers,LA
BUGN,Life,LA
OPA4,Medical,LA
OPA5,Medical,LA
ICUC,Income,LA TAKAFUL
T51S,Life,LA TAKAFUL
75DC,Disability,LA
101C,Life,LA
AD11,Accident,LA
PCW1,Payor/Waiver,LA
MEX7,Savers,LA TAKAFUL
PTC4,Critical Illness,LA
PW02,Payor/Waiver,LA
RGT1,Savers,LA
PS04,Life,LA
BFTP,Disability,LA TAKAFUL
CIAT,Savers,LA
ICB6,Income,LA
MRB4,Medical,LA
ODB5,Income,LA
ODB6,Income,LA
PPFB,Life,LA
REN6,Medical,LA
WPC5,Payor/Waiver,LA
1ES1,Savers,LA TAKAFUL
ATB0,Disability,LA TAKAFUL
DWE4,Payor/Waiver,LA TAKAFUL
HIBB,Income,LA TAKAFUL
M4TA,Medical,LA TAKAFUL
RNBC,Medical,LA TAKAFUL
TME8,Medical,LA TAKAFUL
TMF1,Accident,LA TAKAFUL
TMI1,Critical Illness,LA TAKAFUL
5Y7C,Life,LA
APT1,Life,LA
ACI1,Life,LA
ALI,Life,LA TAKAFUL
AL80,Life,LA TAKAFUL
ICI1,Critical Illness,LA
