PURPOSE_CODE,CHAR_VALUE,CHAR_VALUE2
PS2001,Endowment,
ADR2,Accident,
MPR7,Life,
EXEL,Life,
PAC5N6,Accident,
AW78,Payor/Waiver,
DSA1,Accident,
ELITPD6,Disability,
ECW6,Payor/Waiver,
WFC5,Disability,
SJPA1,Accident,
W127,Payor/Waiver,
WSM-SBBJ2,Accident,
HS25,Medical,
PHI4,Income,
COPA1,Accident,
W108,Payor/Waiver,
MRT212,Life,
EGI2,Endowment,
AHI0,Income,
AHM704,Medical,
AEH1,Medical,
PRA4,Accident,
CR58,Critical Illness,
MEDB,Medical,
DTE2,Life,
TNV3,Life,
EPW3,Payor/Waiver,
PA472,Accident,
SMI1N6,Accident,
11DC,Disability,
EN10,Endowment,
18TPBN6,Life,
CLASIC1AC,Accident,
LTW6,Payor/Waiver,
TER6,Life,
YRT5,Life,
C30305,Endowment,
SUPER1C,Accident,
SPVLPP6,Life,
ACB1,Endowment,
ODB3,Income,
K05052,Life,
CADBGN7,Accident,
EXP9,Endowment,
P58I,Life,
OLYMPIC1A,Accident,
PSL2,Endowment,
13PTRN7,Payor/Waiver,
LW47,Disability,
PA35,Accident,
PPD1,Disability,
PRTPD1,Disability,
EW25,Payor/Waiver,
T152,Life,
PLW2,Payor/Waiver,
ATL206,Accident,
DTE4,Life,
CGB22S7,Endowment,
ECPA1N6,Accident,
PAC4A,Accident,
ESKPA1N6,Accident,
DW75,Payor/Waiver,
D20254,Endowment,
15TRN7,Life,
PFR2,Income,
ECP4,Medical,
ETP4,Disability,
AST1,Savers,
ENT1,Endowment,
PS1001,Endowment,
AEP171,Endowment,
AL19,Life,
EAPT1,Disability,
WC18,Payor/Waiver,
QS1,Accident,
QTW,Accident,
QNZ,Accident,
QDZ,Accident,
EMD3,Medical,
CLWP5,Payor/Waiver,
WSM-SCIP1,Critical Illness,
ENO2,Endowment,
APX1,Payor/Waiver,
T57F,Life,
0SP4N6,Accident,
PETP,Disability,
JPA5,Accident,
HS21,Medical,
CADBLN7,Accident,
SNA2RS6,Endowment,
H434,Medical,
WSM-LCIP2,Critical Illness,
TP70ALN6,Life,
HPA23A,Accident,
SL,Life,
TA5T,Accident,
PC2503,Endowment,
188P1,Accident,
AW12,Payor/Waiver,
A-RR-IA2,Income,
CGG25S7,Endowment,
HI5T,Income,
CW25,Payor/Waiver,
21DC,Disability,
WPS1,Life,
ANNP3N6,Accident,
C3ETPNL,Critical Illness,
PA26,Critical Illness,
EN14,Endowment,
LW71,Payor/Waiver,
RTA6,Accident,
HBIN6,Medical,
ITR1,Life,
VATP,Disability,
WII101,Endowment,
CDE6,Critical Illness,
WDH1,Endowment,
IRE2,Endowment,
ITR3,Life,
CW84,Payor/Waiver,
AIP1,Endowment,
75CB2N6,Accident,
SIR4,Critical Illness,
ST2,Accident,
K20201,Life,
SMF4N6,Accident,
FCR2,Critical Illness,
CMS100N6,Medical,
CW93,Payor/Waiver,
APC0,Payor/Waiver,
FI2015,Endowment,
UPP2,Endowment,
SW12,Payor/Waiver,
TCC3,Accident,
CW20,Payor/Waiver,
MRB7,Medical,
EW40,Payor/Waiver,
CE41,Critical Illness,
23TPN8,Life,
AP52,Accident,
SAR4,Accident,
Z00002,Life,
MB003,Endowment,
EXP1,Endowment,
GIP15P7,Endowment,
AAA4,Life,
EPB8,Payor/Waiver,
OLYMPIC1B,Accident,
IMSN1,Medical,
101I,Life,
APAC5,Accident,
EW94,Payor/Waiver,
GT2A,Life,
AT10,Savers,
C30308,Endowment,
CLW6,Payor/Waiver,
AW53,Payor/Waiver,
18ESCRR9,Endowment,
ECB0,Payor/Waiver,
CR70,Critical Illness,
CECPA1A,Accident,
CECPA3A,Accident,
EES5,Endowment,
LL22,Life,
HS10,Medical,
EES2,Endowment,
AFI502,Income,
FS1501,Endowment,
MPA24A,Accident,
EC14,Medical,
E119,Disability,
THM5,Medical,
AWE2,Payor/Waiver,
IPR1,Endowment,
EPC301,Life,
CWP9,Payor/Waiver,
TPE1,Disability,
WSM-MCGPB,Accident,
DH48,Income,
DCP5,Disability,
ED25,Income,
MHP10,Medical,
